City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Douglas,US,85.24,broken clouds,41.3,-96.167,Hilton Garden Inn Omaha West
504,Matay,EG,79.93,clear sky,28.419,30.7792,Nag Aespen
510,Takoradi,GH,80.38,clear sky,4.8845,-1.7554,Raybow International Hotel
513,Sabang,ID,83.14,overcast clouds,5.8933,95.3214,Hotel Citra
519,Lata,PT,76.05,clear sky,40.1629,-8.3327,Casa Maquia
524,Braganca,BR,81.18,scattered clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
528,Ternate,ID,80.13,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
535,Soyo,AO,76.68,scattered clouds,-6.1349,12.3689,Hotel Mpampa
537,Rawah,IQ,83.35,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
539,Moose Factory,CA,80.6,scattered clouds,51.2585,-80.6094,Moosonee Lilypad
540,Acapulco,MX,89.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
541,Kandrian,PG,75.47,moderate rain,-6.2167,149.55,Kandrian Station
545,Wasaga Beach,CA,89.87,few clouds,44.5168,-80.0164,Kingsbridge Inn
548,Ruwi,OM,87.49,clear sky,23.5996,58.5507,Al Falaj Hotel
549,Sao Miguel Do Araguaia,BR,88.81,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
554,Umm Lajj,SA,84.06,clear sky,25.0213,37.2685,Moon light Furnished Units
556,Ranong,TH,78.66,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
557,Dakar,SN,81.48,clear sky,14.6937,-17.4441,Redface Studios Meublés
558,Tamandare,BR,77.47,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
561,Paka,MY,79.09,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
564,Villa Guerrero,MX,88.18,overcast clouds,18.8667,-99.65,"Ixtapan de la Sal Marriott Hotel, Spa & Convention Center"
571,Kirakira,SB,79.16,overcast clouds,-10.4544,161.9205,SanBiz Lodge
572,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
573,Jaque,PA,82.33,light rain,7.5175,-78.1703,Imbu Bua Lodge
574,Lorengau,PG,79.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
578,Yunyang,CN,77.11,light rain,33.4474,112.7142,Post & Telecom Hotel
581,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
582,Weston,US,89.62,broken clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
587,Cururupu,BR,82.47,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
589,Sibolga,ID,75.22,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
593,Matagami,CA,80.71,clear sky,49.7502,-77.6328,Hôtel Matagami
594,Kumbhraj,IN,88.88,scattered clouds,24.3667,77.05,Sen Kiranastore
595,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
610,Broome,US,89.69,scattered clouds,42.2506,-75.833,Chenango Valley State Park
612,Den Chai,TH,76.37,overcast clouds,17.9837,100.0522,Ruean Saen Hotel
621,Buala,SB,79.97,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
622,Awbari,LY,89.17,overcast clouds,26.5921,12.7805,فندق أوباري
628,Port-Gentil,GA,78.84,overcast clouds,-0.7193,8.7815,Fengshui Residence
635,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
636,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
641,Mogadishu,SO,79.29,broken clouds,2.0371,45.3438,Hotel Juba
642,Dibulla,CO,88.14,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
644,Kasongo,CD,77.81,overcast clouds,-4.45,26.6667,Guest Hôtel
650,Jalu,LY,82.2,clear sky,29.0331,21.5482,صاحبة الفخامة
651,Humaita,BR,89.96,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
652,Loubomo,CG,75.07,scattered clouds,-4.1997,12.6739,La Dolisienne
654,Zhongxing,CN,75.58,light rain,33.7039,118.6792,New Century Grand Hotel Siyang
657,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
666,Coruripe,BR,77.63,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
672,Wilmington,US,83.98,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
675,Lormi,IN,87.28,clear sky,22.2833,81.7333,suresh Kumar Porte
