City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Salamiyah,SY,35.0113,37.0532,68.85,35,0,6.6,clear sky
179,Zhob,PK,31.3411,69.4481,83.32,41,0,8.5,clear sky
180,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,73,0,11.5,clear sky
181,Halifax,CA,44.6453,-63.5724,78.69,52,71,4.0,broken clouds
182,Aklavik,CA,68.2191,-135.0107,45.39,48,13,7.38,few clouds
183,Tura,IN,25.5198,90.2201,73.29,97,67,6.91,light rain
184,Tuatapere,NZ,-46.1333,167.6833,41.25,91,28,4.25,scattered clouds
185,Lompoc,US,34.6391,-120.4579,73.69,81,90,3.0,overcast clouds
186,Ponta Delgada,PT,37.7333,-25.6667,68.72,77,40,12.66,scattered clouds
187,Talavera De La Reina,ES,39.9635,-4.8308,80.71,30,4,3.06,clear sky
188,Mercedes,AR,-34.6515,-59.4307,59.18,46,97,7.56,overcast clouds
189,Ulaanbaatar,MN,47.9077,106.8832,44.73,76,75,10.56,broken clouds
190,Beisfjord,NO,68.3751,17.5988,65.05,42,50,2.66,scattered clouds
191,Villa Carlos Paz,AR,-31.4241,-64.4978,62.38,44,93,11.01,overcast clouds
192,Vestmannaeyjar,IS,63.4427,-20.2734,47.16,93,100,17.36,overcast clouds
193,Sayville,US,40.7359,-73.0821,95.38,65,40,4.0,scattered clouds
194,Sur,OM,22.5667,59.5289,84.2,79,0,16.2,clear sky
195,Rayagada,IN,19.1667,83.4167,83.21,77,28,2.66,scattered clouds
196,Nouakchott,MR,18.0858,-15.9785,105.73,51,3,21.77,clear sky
197,Mount Gambier,AU,-37.8333,140.7667,57.07,62,100,15.26,overcast clouds
198,Ahuimanu,US,21.4447,-157.8378,82.11,60,20,18.54,few clouds
199,Airai,TL,-8.9266,125.4092,55.2,84,73,2.86,broken clouds
200,Namie,JP,37.4833,141.0,65.71,86,100,3.47,overcast clouds
201,Quepos,CR,9.4236,-84.1652,93.6,73,95,6.8,overcast clouds
202,Toora-Khem,RU,52.4675,96.11,39.65,89,100,1.77,overcast clouds
203,Diamantino,BR,-14.4086,-56.4461,91.63,31,71,4.54,broken clouds
204,Kurilsk,RU,45.2333,147.8833,49.57,88,100,3.42,overcast clouds
205,Nizhniy Tsasuchey,RU,50.5167,115.1333,62.2,33,7,10.0,clear sky
206,Ibirataia,BR,-14.0669,-39.6406,74.59,89,26,3.0,scattered clouds
207,Maromitsa,RU,59.8683,48.0123,60.04,71,47,1.01,scattered clouds
208,Ankang,CN,32.68,109.0172,70.23,68,90,2.3,overcast clouds
209,Klaksvik,FO,62.2266,-6.589,50.92,98,100,17.34,overcast clouds
210,Harper,LR,4.375,-7.7169,78.01,89,100,10.49,overcast clouds
211,Yulara,AU,-25.2406,130.9889,42.64,65,9,5.75,clear sky
212,Nador,MA,35.174,-2.9287,71.85,64,0,8.19,clear sky
213,Nara,JP,34.6851,135.8049,69.49,76,100,1.14,overcast clouds
214,Esterhazy,CA,50.65,-102.0843,70.07,38,24,21.36,few clouds
215,Tokmak,UA,47.2514,35.7058,57.52,89,67,7.58,broken clouds
216,Namatanai,PG,-3.6667,152.4333,79.02,85,100,3.91,light rain
217,Beyneu,KZ,45.3167,55.2,66.97,50,2,9.01,clear sky
218,Quatre Cocos,MU,-20.2078,57.7625,72.09,82,23,10.09,few clouds
219,Khanpur,PK,28.6453,70.6567,99.77,23,0,10.94,clear sky
220,Hanamaki,JP,39.3833,141.1167,59.27,90,100,1.9,overcast clouds
221,Georgetown,MY,5.4112,100.3354,80.89,88,20,1.34,few clouds
222,Qianan,CN,44.9932,124.0581,60.12,61,10,3.78,clear sky
223,Rio Grande,BR,-32.035,-52.0986,59.11,62,100,11.97,overcast clouds
224,Ventspils,LV,57.3894,21.5606,60.73,94,0,3.44,clear sky
225,Bengkulu,ID,-3.8004,102.2655,74.12,91,83,4.63,broken clouds
226,Hofn,IS,64.2539,-15.2082,47.64,90,100,11.52,overcast clouds
227,Maumere,ID,-8.6199,122.2111,77.61,81,99,1.79,overcast clouds
228,Rocha,UY,-34.4833,-54.3333,55.24,72,100,6.49,overcast clouds
229,Mina,MX,26.0011,-100.5299,96.21,14,0,5.08,clear sky
230,Khovu-Aksy,RU,51.1333,93.6,38.3,83,98,2.26,overcast clouds
231,Yar-Sale,RU,66.8333,70.8333,36.48,74,37,11.32,scattered clouds
232,Santa Cruz,BO,-17.8,-63.1667,76.21,66,100,3.78,overcast clouds
233,Hambantota,LK,6.1241,81.1185,79.97,84,100,15.14,overcast clouds
234,Ust-Ilimsk,RU,58.0006,102.6619,39.6,61,14,6.2,few clouds
235,Tezu,IN,27.9167,96.1667,73.13,97,99,2.8,overcast clouds
236,Ocos,GT,14.5094,-92.1933,94.73,67,97,6.96,overcast clouds
237,Hithadhoo,MV,-0.6,73.0833,83.17,74,9,14.0,clear sky
238,Brae,GB,60.3964,-1.353,53.51,78,51,7.05,broken clouds
239,Villazon,BO,-22.0866,-65.5942,56.46,7,0,17.56,clear sky
240,Savelugu,GH,9.6244,-0.8253,90.99,43,19,8.14,few clouds
241,Pandan,PH,14.0453,124.1694,79.9,84,100,5.79,overcast clouds
242,Despotovac,RS,44.0925,21.4469,61.61,79,100,1.79,overcast clouds
243,Yei,SS,4.095,30.6779,67.57,95,51,3.69,broken clouds
244,Chuy,UY,-33.6971,-53.4616,56.3,69,100,5.91,overcast clouds
245,Burns Lake,CA,54.2331,-125.7533,52.03,49,100,4.88,overcast clouds
246,Caconda,AO,-13.7333,15.0667,57.79,42,38,2.59,scattered clouds
247,Vostok,RU,46.4856,135.8833,44.15,94,100,4.79,overcast clouds
248,Alushta,UA,44.6667,34.4167,60.84,80,25,7.63,scattered clouds
249,Hauterive,FR,46.0901,3.4459,61.02,92,99,2.75,overcast clouds
250,Kumluca,TR,36.3703,30.2869,72.91,56,0,4.7,clear sky
251,Pisco,PE,-13.7,-76.2167,66.02,82,90,5.75,overcast clouds
252,Longyearbyen,SJ,78.2186,15.6401,40.84,65,0,19.57,clear sky
253,West Wendover,US,40.7391,-114.0733,76.21,15,1,5.75,clear sky
254,Prokudskoye,RU,55.0089,82.4574,58.87,63,0,9.69,clear sky
255,Kapit,MY,2.0167,112.9333,73.11,99,100,0.87,overcast clouds
256,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,40,10.63,scattered clouds
257,Bandarbeyla,SO,9.4942,50.8122,80.58,82,0,28.14,clear sky
258,Orvieto,IT,42.7195,12.1116,68.65,78,100,1.34,overcast clouds
259,Tefe,BR,-3.3542,-64.7114,86.11,74,20,4.61,light rain
260,Kangaatsiaq,GL,68.3065,-53.4641,37.27,91,61,9.37,broken clouds
261,Pringsewu,ID,-5.3582,104.9744,73.65,97,99,4.63,overcast clouds
262,Roebourne,AU,-20.7833,117.1333,75.16,62,100,6.64,overcast clouds
263,Suntar,RU,62.1444,117.6319,48.63,86,100,9.26,overcast clouds
264,Groningen,NL,53.25,6.75,60.28,85,90,1.99,overcast clouds
265,Rudbar,AF,30.15,62.6,97.11,8,0,2.68,clear sky
266,Ayagoz,KZ,47.9714,80.4392,48.96,53,26,9.66,scattered clouds
267,Okha,RU,53.5739,142.9478,35.55,97,100,13.09,overcast clouds
268,Vrede,ZA,-27.4257,29.1659,40.55,81,2,3.27,clear sky
269,Sistranda,NO,63.7256,8.834,56.89,94,91,13.85,overcast clouds
270,Luderitz,NA,-26.6481,15.1594,66.33,39,0,4.63,clear sky
271,Tres Picos,MX,15.8667,-93.5333,85.06,73,74,3.06,broken clouds
272,Chalons-En-Champagne,FR,48.9539,4.3672,66.33,79,22,8.14,few clouds
273,Geraldton,AU,-28.7667,114.6,52.21,93,70,13.2,broken clouds
274,Kodinsk,RU,58.6881,99.1844,40.57,71,19,4.05,few clouds
275,Cairns,AU,-16.9167,145.7667,71.55,83,75,8.05,broken clouds
276,Porosozero,RU,62.7191,32.727,55.6,80,100,8.63,overcast clouds
277,Sisimiut,GL,66.9395,-53.6735,41.4,89,100,5.46,overcast clouds
278,Alyangula,AU,-13.8483,136.4192,73.58,82,100,9.89,overcast clouds
279,Ouango,CF,4.3133,22.5552,70.48,93,37,2.17,scattered clouds
280,Pontianak,ID,-0.0333,109.3333,75.18,100,90,2.95,overcast clouds
281,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,84,20,10.76,few clouds
282,Vkhodnoy,RU,54.9518,73.1711,57.09,44,0,4.47,clear sky
283,Fayaoue,NC,-20.65,166.5333,72.5,60,100,10.74,overcast clouds
284,Sioux Lookout,CA,50.1001,-91.917,91.74,34,99,17.07,overcast clouds
285,Japura,ID,-0.3167,102.35,74.73,94,41,2.59,scattered clouds
286,Mahebourg,MU,-20.4081,57.7,72.25,82,27,10.56,scattered clouds
287,Bilma,NE,18.6853,12.9164,95.18,15,100,2.8,overcast clouds
288,Inirida,CO,3.8653,-67.9239,86.52,66,48,2.06,light rain
289,Qom,IR,34.6401,50.8764,91.9,9,0,16.02,clear sky
290,La Colorada,PA,8.0167,-80.9833,87.76,63,51,3.49,broken clouds
291,Bathsheba,BB,13.2167,-59.5167,86.61,58,40,18.72,scattered clouds
292,Cabo San Lucas,MX,22.8909,-109.9124,103.51,36,1,9.22,clear sky
