City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Rudabanya,HU,6/6/2021 11:47,48.3833,20.6333,75.61,47,6,6.15
98,Arraial Do Cabo,BR,6/6/2021 11:42,-22.9661,-42.0278,75.16,78,0,14.97
99,Hambantota,LK,6/6/2021 11:43,6.1241,81.1185,89.94,70,40,19.84
100,Poso,ID,6/6/2021 11:47,-1.3959,120.7524,79.2,86,68,4.27
101,Seoul,KR,6/6/2021 11:47,37.5683,126.9778,76.48,69,0,4.61
102,Timizart,DZ,6/6/2021 11:47,36.8,4.2667,74.66,63,63,8.97
103,Rosarito,MX,6/6/2021 11:47,32.3333,-117.0333,62.1,87,8,4.16
104,Magadi,IN,6/6/2021 11:47,12.9667,77.2333,86.16,68,100,7.27
105,Arak,IR,6/6/2021 11:47,34.0917,49.6892,89.87,8,0,29.86
106,Chuy,UY,6/6/2021 11:42,-33.6971,-53.4616,52.12,84,38,4.14
107,Upernavik,GL,6/6/2021 11:42,72.7868,-56.1549,35.89,80,1,5.46
108,Cap-Aux-Meules,CA,6/6/2021 11:47,47.3821,-61.8597,53.65,76,40,16.11
109,Castro,BR,6/6/2021 11:42,-24.7911,-50.0119,64.22,67,96,2.86
110,Westport,US,6/6/2021 11:43,41.1415,-73.3579,78.37,74,1,6.08
111,Juneau,US,6/6/2021 11:45,58.3019,-134.4197,49.21,97,90,1.99
112,Najran,SA,6/6/2021 11:42,17.4924,44.1277,102.85,7,2,12.97
113,Nanortalik,GL,6/6/2021 11:43,60.1432,-45.2371,42.71,74,100,5.7
114,Tongliao,CN,6/6/2021 11:47,43.6125,122.2653,68.05,44,34,8.75
115,Maraa,BR,6/6/2021 11:47,-1.8333,-65.3667,74.68,95,100,2.53
116,Ponta Delgada,PT,6/6/2021 11:45,37.7333,-25.6667,66.92,82,20,8.05
117,Yellowknife,CA,6/6/2021 11:43,62.456,-114.3525,41.56,75,40,5.99
118,Coquimbo,CL,6/6/2021 11:43,-29.9533,-71.3436,55.13,94,90,1.14
119,Camana,PE,6/6/2021 11:47,-16.6228,-72.7111,62.58,84,86,6.31
120,Saint-Augustin,CA,6/6/2021 11:42,51.226,-58.6502,48.2,58,5,18.48
121,Prince Albert,CA,6/6/2021 11:43,53.2001,-105.7677,53.55,87,75,4.61
122,Saint-Philippe,RE,6/6/2021 11:42,-21.3585,55.7679,78.39,80,47,10.2
123,Ribeira Grande,PT,6/6/2021 11:43,38.5167,-28.7,68.4,83,40,12.66
124,Vaini,TO,6/6/2021 11:42,-21.2,-175.2,71.76,78,20,2.3
125,Bandarbeyla,SO,6/6/2021 11:47,9.4942,50.8122,88.93,55,10,27.11
126,Avera,US,6/6/2021 11:42,33.194,-82.5271,74.71,92,100,1.99
127,Bend,US,6/6/2021 11:47,44.0582,-121.3153,39.38,79,1,1.01
128,Butaritari,KI,6/6/2021 11:42,3.0707,172.7902,81.82,74,8,5.39
129,Kimbe,PG,6/6/2021 11:47,-5.5502,150.1429,76.93,92,99,4
130,Sadao,TH,6/6/2021 11:47,6.6388,100.4234,83.73,90,100,3.62
131,Shar,KZ,6/6/2021 11:47,49.5886,81.0453,68.45,36,6,12.19
132,Port Moresby,PG,6/6/2021 11:45,-9.4431,147.1797,78.22,89,75,11.5
133,Ariano Irpino,IT,6/6/2021 11:47,41.1489,15.0833,75.02,32,86,12.62
